timestamp,x,y,z
605910871,5.11,-82.6,221.16501
605910875,6.475,-75.25,202.125
605910880,10.43,-67.2,179.585
605910885,15.47,-59.08,154.105
605910889,21.175,-50.4,127.435
605910894,27.965,-41.16,100.975
605910900,35.21,-32.13,74.41
605910904,43.295002,-23.695,47.565
605910909,52.465,-15.085,20.51
605910914,61.74,-7.0,-7.21
605910919,70.245,1.05,-34.755
605910923,77.21,10.43,-60.585
605910928,82.6,20.58,-83.3
605910933,85.855,30.415,-102.515
605910937,86.87,39.41,-118.335
605910941,85.995,47.81,-131.67
605910946,83.37,56.245,-143.535
605910950,78.4,64.295,-154.035
605910955,71.995,71.47,-163.1
605910960,65.24,77.245,-171.29
605910964,59.955,82.565,-179.13
605910969,57.12,88.655,-186.83
605910974,56.77,94.99,-194.775
605910978,57.82,99.995,-203.735
605910983,59.99,103.075,-213.955
605910987,63.84,105.14,-224.875
605910992,70.245,106.645,-236.32
605910997,78.54,107.065,-249.025
605911001,87.22,106.82,-262.605
605911006,95.62,106.89,-276.01
605911011,103.46,107.24,-289.205
605911015,111.020004,107.590004,-301.805
605911020,118.37,108.43,-315.21
605911024,124.565,110.075,-331.065
605911029,129.36,113.54,-349.65
605911034,133.245,120.085,-370.16
605911038,136.29,128.695,-392.77
605911043,138.705,137.725,-417.655
605911049,141.085,145.705,-444.15
605911053,143.43001,152.285,-472.185
605911058,144.41,156.695,-500.465
605911063,143.885,157.64,-527.765
605911068,143.43001,156.415,-551.915
605911072,144.095,154.735,-572.985
605911077,145.6,153.3,-590.625
605911082,147.49,151.375,-606.585
605911086,146.965,152.005,-618.94
605911090,138.635,155.61,-626.22003
605911095,123.375,158.9,-632.66
605911099,104.825,164.57,-639.03
605911104,84.49,174.895,-646.205
605911109,64.68,189.84,-657.09
605911113,46.305,208.74,-672.315
605911118,29.785,230.23,-691.985
605911124,17.115,254.065,-716.555
605911128,9.065,280.73502,-747.145
605911133,9.765,314.16,-783.335
605911138,21.315,353.115,-824.215
605911143,40.565,396.375,-868.84
605911147,65.31,444.535,-916.195
605911152,89.775,493.885,-966.945
605911157,110.985,542.675,-1018.185
605911162,127.295,596.225,-1068.795
605911166,136.185,651.14,-1117.48
605911171,134.54,698.81,-1142.505
605911176,111.195,725.375,-1146.74
605911181,73.885,736.82,-1146.74
605911185,33.145,744.66,-1146.74
605911190,-4.095,749.525,-1146.74
605911195,-38.920002,746.13,-1146.74
605911199,-72.975,738.885,-1146.74
605911203,-104.79,721.735,-1146.74
605911208,-147.77,679.28,-1146.74
605911212,-203.98,617.05,-1146.74
605911217,-268.8,542.465,-1146.74
605911222,-345.275,444.99,-1146.74
605911226,-429.345,333.375,-1146.74
605911231,-511.73502,238.35,-1146.67
605911236,-604.065,178.045,-1092.525
605911240,-724.045,127.68,-1007.825
605911245,-860.3,86.415,-922.215
605911249,-1008.77,58.835,-843.115
605911254,-1121.82,50.295002,-771.68
605911259,-1146.74,77.35,-702.38
605911263,-1146.74,146.93001,-630.59503
605911268,-1146.74,244.825,-554.855
605911274,-1146.74,349.79,-474.39
605911278,-1107.47,449.54,-394.415
605911283,-1002.155,539.21,-327.39
605911288,-873.67,603.33,-282.695
605911293,-761.705,645.19,-253.47
605911297,-678.965,652.435,-258.545
605911302,-626.01,652.995,-209.825
605911307,-600.635,637.91,-171.92
605911311,-586.39,608.86,-146.79
605911315,-572.775,575.365,-123.270004
605911320,-553.98,540.47003,-100.065
605911324,-536.55,501.095,-73.92
605911329,-522.62,463.96,-43.645
605911334,-512.33,429.31,-10.15
605911338,-503.44,398.965,28.805
605911343,-495.425,372.89,69.79
605911348,-489.125,350.73502,112.105
605911352,-484.12,330.82,153.335
605911357,-481.18,314.44,192.22
605911361,-476.56,305.2,227.255
605911366,-466.27,300.79,252.35
605911371,-450.03,303.59,267.295
605911375,-421.33,322.21,277.27
605911380,-377.895,352.45,279.72
605911385,-327.285,391.755,274.75
605911389,-275.52,439.53,266.455
605911394,-225.855,484.925,248.185
605911398,-186.41,518.525,227.675
605911403,-166.565,538.125,207.725
605911408,-157.85,536.48,187.425
605911412,-160.93001,522.06,173.95
605911417,-169.575,497.805,166.67
605911423,-172.83,468.09,157.64
605911427,-169.05,443.87,151.48
605911432,-169.925,418.845,148.05
605911437,-173.39,386.61002,138.215
605911442,-174.475,366.59,135.275
605911446,-176.54,352.555,130.725
605911451,-181.51,334.635,129.57
605911456,-183.19,323.715,129.465
605911460,-184.52,314.44,125.055
605911464,-183.54,305.62,118.37
605911469,-179.795,302.4,111.405
605911473,-171.255,307.51,105.945
605911478,-158.445,317.73,102.06
605911483,-141.225,330.19,100.345
605911487,-121.415,341.565,99.995
605911492,-101.745,349.65,98.28
605911498,-83.545,353.045,96.81
605911502,-67.865,352.205,96.74
605911507,-55.755,348.145,97.23
605911512,-46.865,340.725,97.475
605911517,-40.075,331.59,96.495
605911521,-33.425,322.875,97.090004
605911526,-28.315,314.16,97.895
605911531,-26.880001,304.85,98.0
605911536,-27.965,294.63,97.44
605911540,-30.625,283.78,95.865
605911545,-33.32,272.37,92.505
605911550,-34.65,259.455,86.975
605911555,-35.105,243.215,78.68
605911559,-34.79,224.385,68.215004
605911564,-32.97,203.80501,56.945
605911569,-30.31,182.14,45.745
605911573,-27.58,160.125,35.21
605911577,-25.165,139.335,26.39
605911582,-23.415,119.770004,19.425
605911586,-22.855,101.395,13.93
605911591,-22.47,85.05,10.08
605911596,-22.295,70.385,7.4900002
605911600,-22.54,57.225,6.23
605911605,-23.065,46.69,5.775
605911610,-23.415,38.535,5.215
605911614,-23.66,33.145,4.095
605911619,-23.31,30.065,3.01
605911623,-21.84,28.07,2.135
605911628,-19.25,26.915,1.26
605911633,-15.295,27.09,0.735
605911637,-11.06,28.385,-0.175
605911642,-7.0,30.66,-0.91
605911647,-2.975,33.985,-0.42000002
605911651,1.26,38.08,1.085
605911656,5.775,42.175,2.975
605911660,9.7300005,45.78,4.585
605911665,14.1050005,49.0,5.53
605911670,18.97,52.045002,5.775
605911674,23.485,54.285,4.76
605911679,26.985,55.65,2.835
605911685,29.47,56.35,0.175
605911689,30.135,55.545002,-3.43
605911694,28.875,52.64,-7.21
605911699,26.075,47.565,-11.27
605911704,22.05,40.985,-15.505
605911708,17.92,33.670002,-18.83
605911713,14.0,26.81,-21.0
605911718,11.165,20.09,-22.435
605911722,9.765,13.825,-23.695
605911726,9.345,7.98,-24.395
605911731,9.765,2.835,-24.36
605911735,11.06,-2.415,-24.08
605911740,12.775,-7.5950003,-24.115
605911745,14.7,-12.425,-24.045
605911749,16.625,-17.22,-24.185
605911754,17.78,-22.085001,-24.710001
605911759,18.2,-26.95,-25.585001
605911763,17.99,-31.815,-27.335001
605911768,17.115,-37.345,-30.1
605911772,15.155,-42.91,-33.74
605911777,12.635,-47.425,-37.45
605911782,9.415,-50.96,-40.81
605911786,5.705,-53.27,-43.12
605911791,2.275,-54.670002,-44.835
605911797,-0.665,-55.37,-46.655
605911801,-2.625,-55.65,-48.405
605911806,-2.8,-55.510002,-49.595
605911811,-1.575,-54.775,-49.91
605911816,0.245,-54.18,-49.84
605911820,2.31,-53.795002,-49.28
605911825,5.6,-54.215,-48.615
605911830,8.96,-55.265,-47.775
605911834,12.425,-55.965,-45.78
605911838,16.345,-56.0,-43.435
605911843,20.335001,-56.245,-41.93
605911847,23.38,-57.47,-41.335
605911852,25.165,-59.325,-41.16
605911857,25.83,-61.005,-40.95
605911861,25.41,-62.545002,-41.195
605911866,24.115,-64.295,-41.895
605911872,21.98,-65.94,-42.805
605911876,19.25,-67.515,-43.47
605911881,16.31,-68.565,-43.82
605911886,14.175,-69.545,-44.135
605911891,12.88,-70.77,-44.065
605911895,12.25,-72.275,-43.575
605911900,12.25,-74.13,-42.735
605911905,12.95,-76.055,-41.72
605911909,14.175,-77.525,-40.495
605911913,16.1,-78.33,-39.06
605911918,18.585001,-78.855,-37.94
605911922,20.825,-79.555,-37.38
605911927,22.68,-80.92,-37.31
605911932,24.57,-82.425,-37.905
605911936,25.69,-83.65,-39.445
605911941,26.285,-84.98,-41.37
605911947,25.97,-86.24,-43.365
605911951,25.13,-87.92,-45.5
605911956,24.36,-89.6,-47.775
605911961,24.325,-90.475,-49.455
605911966,25.025,-90.895,-51.31
605911970,25.97,-91.63,-53.165
605911975,27.09,-93.275,-55.265
605911980,28.42,-95.55,-57.505
605911984,30.065,-97.755,-59.465
605911988,31.57,-100.38,-61.635002
605911993,33.075,-102.935,-63.875
605911997,34.44,-105.245,-65.8
605912002,34.755,-108.185,-67.83
605912007,34.475,-112.35,-69.965004
605912011,33.705,-116.62,-72.17
605912016,32.725,-118.16,-73.605
605912021,33.46,-119.035,-75.53
605912025,34.16,-120.295,-77.91
605912030,34.055,-121.765,-79.975
